Delta;Theta;Alpha_low;Alpha_high;Beta_low;Beta_high;Gamma_low;Gamma_high;Attention;Meditation;BlinkStrength;Flag
20540;18001;13405;9572;5066;4039;2249;1355;44;82;11;0
51206;23640;6146;9821;8626;6863;1467;936;65;57;16;1
74207;41702;7761;3063;2478;3354;1869;939;35;27;27;1
131907;36695;15983;10402;8516;5925;3353;2425;36;67;5;0
109974;46793;7416;9009;6278;13996;8244;5975;92;38;-1;0
347855;70199;8946;6631;6357;6049;1745;2454;57;71;9;0
424123;60579;9591;9170;10773;7809;9952;3594;58;30;-1;0
69944;40247;11552;5376;4557;4031;2534;1436;53;56;19;1
30352;20130;13053;5811;10395;10302;5271;3477;73;78;-1;0
200004;67555;23284;9965;10884;10037;3654;1437;61;69;32;1
400452;55415;13021;7448;9438;11912;8821;5307;62;50;-1;0
68892;22047;14364;10755;9235;5546;2930;1390;67;55;9;1
1784316;198269;62810;16751;27844;15744;15919;8184;22;68;25;1
29155;6082;2065;3464;2312;1912;1947;732;54;65;-1;1
108480;44864;10107;12755;9213;7978;5803;3715;61;47;24;0
114417;35163;11031;6981;6864;6608;2957;1345;53;81;-1;1
722739;222835;79337;62885;39381;22663;26927;13295;44;72;16;1
76312;14699;5612;7924;2898;3344;2370;1174;51;39;10;0
477397;66805;17548;21734;11470;13841;16666;6633;19;56;37;1
1000594;186400;36411;22297;25667;26507;9601;3084;33;54;10;1
17308;7667;6774;6045;5479;3427;1520;934;66;76;-1;0
100765;18471;3910;4043;4194;3452;2841;1110;79;37;16;0
151258;61464;19396;14012;6914;7088;6226;3392;50;66;22;0
517821;225993;31831;34109;9001;12094;14465;6167;31;64;20;1
331773;78452;20832;12223;13133;9815;17463;5168;61;58;-1;0
58222;14123;7965;8647;3942;4908;2543;1462;59;77;16;1
9821;19427;6707;7774;5441;3267;2986;1422;50;82;-1;0
1261021;161023;109160;33368;55927;52282;8617;3414;59;45;64;1
647939;171786;12887;19098;8256;8296;3459;1688;35;42;53;1
304545;35042;13517;7166;6085;8400;10092;3959;50;65;15;0
1033655;169620;55333;30024;20371;28227;7864;3448;56;55;87;1
71630;41259;4614;4913;4460;3414;2041;1084;61;60;22;1
137749;32995;7495;11995;13883;8123;9207;4713;51;68;-1;0
16927;22798;7389;7788;10813;6364;4391;3673;73;51;-1;1
229082;72417;8513;9618;6891;9067;2462;1566;52;45;-1;1
285953;58160;6996;7239;4192;7473;5841;3386;61;49;-1;0
448568;89427;15850;12773;16393;8113;7844;2925;40;24;54;1
106844;37805;5518;4296;4750;2741;2145;456;40;36;23;1
154459;26748;7990;6271;8214;4467;4005;2077;82;74;10;1
73376;33760;11341;10239;6916;6287;5871;2606;52;50;-1;1
857248;34979;19161;20263;24276;15232;10071;3035;48;60;24;1
97589;12082;9937;9134;10113;7231;3110;2114;83;56;8;1
1048569;168005;45489;43308;20012;9895;12206;3464;20;55;23;1
141147;9606;2622;2946;2282;1822;1566;858;50;46;-1;1
520536;103521;14546;20739;7714;11776;12636;3412;41;54;32;1
91047;17134;5325;5040;3900;3006;2827;2171;66;63;-1;0
300093;51945;30438;16632;9777;5525;1810;2116;23;74;-1;1
257761;54555;9123;10524;12171;6475;6898;2767;57;50;29;1
30498;15099;7181;11739;5666;3709;1881;639;53;79;11;1
8872;21637;10968;6668;7621;5383;2148;1114;69;57;-1;1
151091;32848;7888;7768;8536;4379;3263;1999;61;44;7;1
56124;35339;9319;10178;11015;9139;6807;4746;70;67;22;0
322714;91857;28711;12859;5579;3493;1639;736;19;30;55;0
365155;59003;18376;11672;6972;4130;3999;1261;50;84;-1;0
18466;18317;5741;7497;5633;6480;5129;2563;44;69;10;1
147939;20711;6236;5733;6245;7931;6719;2612;67;51;-1;0
18294;20423;2240;4058;2103;3303;1774;1101;75;75;10;1
246322;32484;16450;8103;11682;9297;10234;3895;63;65;-1;1
164345;39329;7229;8284;6492;5153;2047;1225;58;42;9;1
143160;29494;3991;5504;6929;4004;2466;1841;70;59;-1;0
544567;110621;14985;16793;10641;17901;14886;2309;72;82;-1;0
999511;167407;38886;49874;28427;13341;13250;4647;36;66;15;1
122843;45303;9587;6570;12188;18201;12370;5647;70;41;13;0
213634;35651;7308;17175;10131;8157;3076;1707;63;73;-1;1
13009;18288;12102;10765;8378;6414;3068;1442;63;65;-1;1
74583;206647;11642;14111;14578;11087;4594;1598;56;76;36;1
26729;15273;5257;3717;4886;7710;3966;2133;87;49;-1;0
184142;27773;12563;7841;4254;5120;4021;1389;48;56;-1;0
86432;31306;10453;15350;6254;6625;2908;1682;52;66;15;1
335999;91307;43013;30309;10269;10989;14632;6385;34;74;10;1
32153;17452;4059;5262;5786;5783;3120;1786;69;54;-1;1
297708;38060;11817;16967;6497;7330;7328;3657;57;71;-1;1
298421;50478;16814;13182;8935;11410;13064;4616;67;64;9;1
16346;10754;10154;4711;4683;3658;1842;1281;74;55;10;1
393235;35423;9192;9740;6008;8762;5314;4590;50;84;-1;0
327212;50805;18335;20019;17818;10594;5219;2730;64;79;12;1
1146865;176029;47563;21082;30727;15139;8759;4518;44;54;48;1
171409;64055;6980;22564;9014;5920;8293;2417;34;44;-1;0
7944;12556;3003;6308;2322;1736;934;486;42;67;-1;0
11155;16739;8695;8945;2502;1374;944;596;52;79;-1;0
21679;17645;5057;9296;8024;4589;1861;1697;65;39;-1;1
84947;18913;12278;6759;13056;7594;5135;3603;82;64;-1;0
68890;18260;3979;4346;7097;3790;2302;1353;68;41;13;1
110553;36923;14622;13669;7985;11959;9540;2098;58;75;9;0
627365;93819;17614;12705;9593;8717;5573;3424;77;31;-1;0
239428;80168;29948;17677;9108;6704;3535;2268;28;64;15;0
314505;83912;24113;16067;9725;8330;7038;2467;41;77;24;1
692243;151058;53300;24532;22379;27519;5522;2901;42;56;62;1
687359;261750;22412;48181;39408;22339;25161;14838;21;49;36;1
787257;97357;56245;7755;8799;6344;14162;2738;39;73;-1;1
850793;137118;19667;17983;11727;10333;4672;2906;43;39;44;1
573081;111483;23199;14115;7819;17141;9089;5912;62;49;-1;1
656050;81609;40374;18286;9429;8807;11366;3479;34;65;41;0
389369;132223;23269;35201;12371;10250;8987;3246;65;69;15;1
300377;49845;6675;6582;7867;4407;3826;1151;67;38;17;1
1216120;158919;20506;14653;13839;6077;4493;1037;28;68;13;1
45168;15958;7877;6095;8887;8198;14783;3155;69;69;-1;0
36227;33288;11161;15719;8383;5096;2742;1171;55;85;-1;0
295701;30121;5141;9635;6630;7484;4476;3615;47;46;-1;1
35194;27814;2421;4054;3047;2681;1159;719;51;36;-1;1
253025;48479;15030;10464;13612;12476;11497;6312;68;58;-1;0
1020597;115097;35000;18847;13058;12268;5083;1241;61;55;22;1
203376;27412;17012;13142;13949;6497;5913;2499;63;81;12;1
9048;11920;6128;5927;9226;5621;1762;1633;76;72;-1;0
17597;10279;2509;3467;4073;2669;1635;768;47;61;-1;1
299501;37994;11243;17082;6356;6626;6513;3699;57;65;-1;1
420670;170995;51836;44362;30296;18018;7876;4256;35;53;33;1
203328;29134;18198;12256;14343;6676;5898;2447;63;79;12;1
270639;41953;11086;25458;8222;12091;7570;4036;84;74;39;1
737549;94380;32515;23340;13551;12253;8057;2365;49;62;44;1
915456;205756;13441;10101;22864;14330;17367;9633;56;40;31;1
54469;49328;9983;6922;5837;6823;2292;1468;67;41;-1;1
15009;12711;3479;2250;2041;2121;1064;329;48;57;7;0
940458;80168;21864;38639;24340;16086;7673;3418;38;53;49;1
148110;27438;1996;2867;2213;1621;968;556;61;53;25;0
90678;36697;19348;26165;7121;4916;2744;1522;36;62;-1;0
49742;10518;8442;7407;6109;3520;2253;1167;52;80;7;1
722101;246108;29478;11137;13888;18696;9017;4366;65;45;34;0
45593;46071;8191;4054;7594;4978;2691;1123;55;54;-1;1
165865;36190;3644;12980;7725;10134;5646;2460;76;48;-1;0
12604;7778;5230;5226;3845;2369;1671;781;55;90;-1;1
